P[hPa] T[K] Qv[g/kg] U[m/s] V[m/s]
480.0000 265.8143 0.7554 0 0
479.0000 265.8136 0.5926 0 0
478.0000 265.8791 0.4515 0 0
477.0000 265.9181 0.3444 0 0
476.0000 265.9700 0.2601 0 0
475.0000 266.0661 0.2168 0 0
474.0000 266.1477 0.1554 0 0
473.0000 266.2058 0.1040 0 0
472.0000 266.3447 0.0753 0 0
471.0000 266.4000 0.0399 0 0
470.0000 266.4173 0.0175 0 0
469.0000 266.3944 0.0053 0 0
468.0000 266.3372 0.0068 0 0
467.0000 266.2801 0.0084 0 0
466.0000 266.2229 0.0099 0 0
465.0000 266.1657 0.0114 0 0
464.0000 266.1086 0.0129 0 0
463.0000 266.0514 0.0145 0 0
462.0000 265.9942 0.0160 0 0
461.0000 265.9371 0.0175 0 0
460.0000 265.8799 0.0191 0 0
459.0000 265.8227 0.0206 0 0
458.0000 265.7656 0.0221 0 0
457.0000 265.7084 0.0236 0 0
456.0000 265.6512 0.0252 0 0
455.0000 265.5941 0.0267 0 0
454.0000 265.5369 0.0282 0 0
453.0000 265.4797 0.0298 0 0
452.0000 265.4226 0.0313 0 0
451.0000 265.3654 0.0328 0 0
450.0000 265.3082 0.0344 0 0
449.0000 265.2511 0.0359 0 0
448.0000 265.1939 0.0374 0 0
447.0000 265.1367 0.0389 0 0
446.0000 265.0795 0.0405 0 0
445.0000 265.0224 0.0420 0 0
444.0000 264.9652 0.0435 0 0
443.0000 264.9080 0.0451 0 0
442.0000 264.8509 0.0466 0 0
441.0000 264.7937 0.0481 0 0
440.0000 264.7365 0.0496 0 0
439.0000 264.6794 0.0512 0 0
438.0000 264.6222 0.0527 0 0
437.0000 264.5650 0.0542 0 0
436.0000 264.5079 0.0558 0 0
435.0000 264.4507 0.0573 0 0
434.0000 264.3935 0.0588 0 0
433.0000 264.3364 0.0604 0 0
432.0000 264.2792 0.0619 0 0
431.0000 264.2328 0.0292 0 0
430.0000 264.1232 0.0295 0 0
429.0000 264.0137 0.0299 0 0
428.0000 263.9042 0.0303 0 0
427.0000 263.7947 0.0306 0 0
426.0000 263.6852 0.0310 0 0
425.0000 263.5757 0.0314 0 0
424.0000 263.4661 0.0317 0 0
423.0000 263.3566 0.0321 0 0
422.0000 263.2471 0.0324 0 0
421.0000 263.1376 0.0328 0 0
420.0000 263.0281 0.0332 0 0
419.0000 262.9185 0.0335 0 0
418.0000 262.8090 0.0339 0 0
417.0000 262.6995 0.0343 0 0
416.0000 262.5900 0.0346 0 0
415.0000 262.4805 0.0350 0 0
414.0000 262.3710 0.0353 0 0
413.0000 262.2614 0.0357 0 0
412.0000 262.1519 0.0361 0 0
411.0000 262.0424 0.0364 0 0
410.0000 261.9329 0.0368 0 0
409.0000 261.8234 0.0372 0 0
408.0000 261.7138 0.0375 0 0
407.0000 261.6043 0.0379 0 0
406.0000 261.4948 0.0382 0 0
405.0000 261.3853 0.0386 0 0
404.0000 261.2758 0.0390 0 0
403.0000 261.1662 0.0393 0 0
402.0000 261.0567 0.0397 0 0
401.0000 260.9472 0.0401 0 0
400.0000 260.8377 0.0404 0 0
399.0000 260.7282 0.0408 0 0
398.0000 260.6187 0.0411 0 0
397.0000 260.5091 0.0415 0 0
396.0000 260.3996 0.0419 0 0
395.0000 260.2901 0.0422 0 0
394.0000 260.1806 0.0426 0 0
393.0000 260.0711 0.0430 0 0
392.0000 259.9615 0.0433 0 0
391.0000 259.8520 0.0437 0 0
390.0000 259.7425 0.0440 0 0
389.0000 259.6330 0.0444 0 0
388.0000 259.5235 0.0448 0 0
387.0000 259.4139 0.0451 0 0
386.0000 259.3044 0.0455 0 0
385.0000 259.1949 0.0459 0 0
384.0000 259.0854 0.0462 0 0
383.0000 258.9759 0.0466 0 0
382.0000 258.8664 0.0469 0 0
