P[hPa] T[K] Qv[g/kg] U[m/s] V[m/s]
466.0000 263.4171 0.0000 0 0
465.0000 263.3579 0.0000 0 0
464.0000 263.2988 0.0000 0 0
463.0000 263.2396 0.0000 0 0
462.0000 263.1804 0.0000 0 0
461.0000 263.1213 0.0000 0 0
460.0000 263.0621 0.0000 0 0
459.0000 263.0030 0.0000 0 0
458.0000 262.9438 0.0000 0 0
457.0000 262.8847 0.0000 0 0
456.0000 262.8255 0.0000 0 0
455.0000 262.7663 0.0000 0 0
454.0000 262.7072 0.0000 0 0
453.0000 262.6480 0.0000 0 0
452.0000 262.5889 0.0000 0 0
451.0000 262.5297 0.0000 0 0
450.0000 262.4705 0.0000 0 0
449.0000 262.4114 0.0000 0 0
448.0000 262.3522 0.0000 0 0
447.0000 262.2931 0.0000 0 0
446.0000 262.2339 0.0000 0 0
445.0000 262.1747 0.0000 0 0
444.0000 262.1156 0.0000 0 0
443.0000 262.0564 0.0000 0 0
442.0000 261.9973 0.0000 0 0
441.0000 261.9381 0.0000 0 0
440.0000 261.8790 0.0000 0 0
439.0000 261.8198 0.0000 0 0
438.0000 261.7606 0.0000 0 0
437.0000 261.7015 0.0000 0 0
436.0000 261.6423 0.0000 0 0
435.0000 261.5832 0.0000 0 0
434.0000 261.5240 0.0000 0 0
433.0000 261.4648 0.0000 0 0
432.0000 261.4057 0.0000 0 0
431.0000 261.3755 0.0000 0 0
430.0000 261.2602 0.0000 0 0
429.0000 261.1450 0.0000 0 0
428.0000 261.0298 0.0000 0 0
427.0000 260.9146 0.0000 0 0
426.0000 260.7994 0.0000 0 0
425.0000 260.6841 0.0000 0 0
424.0000 260.5689 0.0000 0 0
423.0000 260.4537 0.0000 0 0
422.0000 260.3385 0.0000 0 0
421.0000 260.2233 0.0000 0 0
420.0000 260.1081 0.0000 0 0
419.0000 259.9928 0.0000 0 0
418.0000 259.8776 0.0000 0 0
417.0000 259.7624 0.0000 0 0
416.0000 259.6472 0.0000 0 0
415.0000 259.5320 0.0000 0 0
414.0000 259.4167 0.0000 0 0
413.0000 259.3015 0.0000 0 0
